Distance,Angle
136,0.900879
135,1.91711
135,2.90588
135,3.90564
136,4.9054
137,5.90515
137,6.90491
138,7.90466
138,8.88794
138,9.8877
139,10.8875
139,11.8872
139,12.887
140,13.8867
140,14.87
141,15.8698
141,16.875
142,17.8748
142,18.8745
143,19.8743
144,20.874
145,21.8573
146,22.8571
147,23.8568
148,24.8566
150,25.8563
151,26.8561
151,27.8394
154,28.8391
155,29.8389
157,30.8386
158,31.8384
160,32.8436
162,33.8434
164,34.8267
166,35.8264
168,36.8262
169,37.8259
171,38.8092
174,39.5618
176,40.5615
179,41.5613
181,42.561
184,43.5443
187,44.5441
190,45.5438
193,46.5436
197,47.5269
201,48.5266
204,49.5264
208,50.5261
212,51.5259
215,52.0148
220,52.0148
225,54.5142
230,55.5139
235,56.3708
240,57.4969
247,57.6233
262,58.623
254,58.9966
267,59.3591
2845,97.9651
1804,110.171
1783,111.171
1804,112.154
1881,115.137
1861,116.136
1874,117.136
3625,118.746
3609,119.745
3580,120.745
2839,133.874
2859,134.747
2901,135.873
2939,136.873
3010,137.747
3025,138.746
3091,139.746
3144,140.746
3235,141.746
3294,142.745
3372,143.745
3431,144.745
3461,145.745
3529,146.75
3698,148.749
3826,149.749
3953,150.749
4013,151.622
4131,152.622
4249,153.622
4367,154.622
4486,155.621
4707,157.621
6693,175.496
6630,176.495
6632,177.495
6682,178.495
6632,179.495
6601,180.5
6593,181.5
6609,182.499
6556,183.499
6488,184.499
6554,185.515
6636,186.515
6618,187.515
6663,188.514
6624,189.514
6548,190.514
5796,197.512
4798,216.656
5029,217.667
5160,218.672
5188,219.672
5286,220.682
5430,221.682
5596,223.698
5750,225.714
6705,226.604
6710,228.62
6716,229.62
6691,230.636
6712,231.636
6710,232.652
6697,233.652
6739,235.668
6875,236.667
6735,237.684
6802,238.683
5949,243.732
7006,246.747
2888,248.011
7302,253.779
7503,255.778
2723,262.167
2624,263.183
2614,264.183
2642,265.182
2688,266.182
2703,267.188
2738,268.187
2756,269.187
2790,270.198
2809,271.203
2881,272.076
2920,273.076
2935,274.076
2266,275.323
3013,276.092
3060,277.092
4049,280.964
4067,281.981
4081,282.98
4097,283.98
4154,284.98
4175,285.98
4212,286.979
4228,287.979
4357,288.984
4391,289.984
4445,291.984
4494,292.983
4528,293.983
4558,294.983
4562,295.983
4622,296.982
4661,297.982
4706,298.982
4754,299.982
4874,301.981
2532,313.231
2453,314.231
2413,315.231
2365,316.23
2322,317.357
2276,318.356
2256,319.373
2209,320.372
2182,321.372
2130,322.372
2116,323.372
2083,324.388
2045,325.388
2018,326.387
168,334.764
164,335.781
161,336.78
159,337.78
156,338.78
155,339.78
153,340.796
152,341.796
150,342.795
149,343.795
148,344.811
147,345.811
146,346.811
145,347.811
144,348.81
143,349.827
142,350.826
142,351.826
141,352.826
141,353.842
140,354.825
140,355.825
140,356.825
139,357.808
139,358.808
