Distance,Angle
1708,0.0439453
1707,1.17004
1694,2.05994
1681,3.05969
1676,4.07593
1677,5.21851
1666,6.21826
1662,7.10815
1645,8.10791
1645,9.12415
1645,10.2612
1626,11.261
1630,12.1509
1632,13.1561
1619,14.2932
1631,15.1831
1631,16.1829
1617,17.3254
1631,18.3252
1641,19.3414
1619,20.3577
1624,21.3574
1625,22.3737
1643,23.3734
1644,24.2633
1643,25.4059
1663,26.4056
1663,27.4219
1673,28.2953
1664,29.3115
1677,30.3113
1693,31.3275
1693,32.3273
1706,33.3435
1709,34.3433
1727,35.354
1728,36.3593
1743,37.37
1745,38.3698
1766,39.386
1769,40.3857
1786,41.402
1804,42.4182
1820,43.418
1837,44.4342
1848,45.434
1875,46.4502
1878,47.45
1909,48.4662
1934,49.3396
1937,50.3558
1969,51.3556
1989,52.3718
2014,53.3716
2036,54.3878
2064,55.3876
2091,56.4038
2124,57.42
2155,58.4198
5715,61.062
5693,62.0618
5633,63.0615
5635,64.0613
5593,65.0775
5558,66.0773
5589,67.077
5545,69.093
1567,99.8547
1528,100.871
1511,101.871
1551,102.887
1537,106.902
1538,107.919
1537,108.918
1551,109.935
7254,113.214
7239,115.23
7256,119.262
2831,123.668
3298,135.637
3235,136.653
3207,137.67
3203,138.669
3182,139.686
3186,140.685
3376,141.702
1385,143.328
1365,144.338
1372,145.344
1380,146.354
6653,148.513
1332,150.386
1324,151.403
1303,152.402
1310,153.419
1316,154.435
2457,156.951
2498,157.95
2567,158.967
2595,159.966
2660,160.983
2711,161.982
2757,162.999
2819,163.998
2899,164.888
2952,166.014
3050,166.904
3132,167.904
3223,168.92
3434,170.92
4519,178.857
4497,179.874
6636,195.903
6562,196.919
6651,197.935
6546,198.951
6649,199.951
6556,200.967
6684,201.984
6593,203
6644,205.01
6665,206.027
6712,207.043
6613,208.059
6693,209.059
5827,218.309
6046,224.28
3664,228.593
4011,235.574
3917,236.591
5394,237.607
5434,238.623
5481,239.639
5724,240.656
5789,241.672
5911,242.562
6059,244.589
7044,245.605
7073,248.654
7085,249.67
7234,250.686
7174,251.686
6647,252.702
7199,253.702
7199,254.718
7299,256.734
7439,263.793
7563,265.809
3188,283.233
2895,286.37
2781,288.386
2726,289.385
2743,290.402
2786,291.401
3553,292.28
4497,295.186
4517,296.186
4532,297.202
4565,298.202
4612,299.218
4656,300.218
4696,301.218
520,305.859
460,308.123
431,309.512
415,310.386
398,311.638
381,312.902
367,313.781
355,315.417
346,316.544
335,317.56
327,318.686
322,319.323
319,320.702
317,321.339
318,322.718
319,323.981
322,324.855
326,325.997
330,326.497
334,327.761
339,328.777
343,329.529
348,330.167
353,331.419
360,332.309
367,333.309
373,333.951
380,334.968
388,335.967
397,336.984
407,337.604
412,338.621
421,339.5
431,340.763
442,341.389
457,342.405
1929,346.075
1907,347.091
1880,347.981
1860,349.107
1842,350.123
1821,351.123
1805,351.964
1786,352.98
1770,353.979
1766,354.996
1747,355.995
1745,357.012
1740,358.011
