Distance,Angle
1008,0.999756
1001,2.0105
992,3.04321
984,4.05945
978,5.21851
970,6.1084
964,7.12463
958,8.2782
956,9.29443
949,10.3271
946,11.3434
940,12.3706
936,13.3868
933,14.4196
932,15.4358
931,16.452
927,17.4792
922,18.4955
922,19.5282
920,20.5444
922,21.5771
918,22.7142
916,23.6041
917,24.6368
916,25.7794
917,26.6858
919,27.8229
918,28.7292
920,29.7455
922,30.7782
925,31.7944
929,32.8271
930,33.717
933,34.8706
937,35.777
939,36.9196
944,37.9523
949,38.9795
953,39.9957
956,41.0284
963,42.0447
967,42.951
973,43.9838
980,45
991,46.0272
996,47.0599
1002,48.0762
1007,49.1089
1017,50.1196
1026,51.1523
1040,52.1851
1045,53.2013
1058,54.234
1071,55.1404
1080,56.1511
1095,57.1838
1107,58.2001
1124,59.2328
1137,60.2655
1152,61.1554
1166,62.309
1181,63.3417
1204,64.2316
1223,65.2478
1252,66.1377
1272,67.1704
1290,68.3075
1321,69.2029
1350,70.2136
1372,71.2463
1394,72.2626
1421,73.2788
1447,74.1687
1486,75.2014
1516,76.2177
1551,77.2339
1591,78.2446
1628,79.2773
1673,80.1672
1711,81.1835
1765,82.1997
1817,83.2324
1864,84.2487
1952,85.1385
1988,86.1548
2064,87.1875
2137,88.1982
2224,89.2145
2309,90.2307
2382,91.2634
2270,115.609
2237,116.746
2200,121.838
2158,122.855
2193,123.887
1981,138.246
1929,139.389
1934,140.295
1978,141.328
581,147.31
556,148.343
541,149.37
526,150.529
507,151.809
494,152.825
482,154.105
470,155.012
460,156.292
451,157.451
441,158.214
434,159.373
426,160.653
419,161.433
413,162.839
406,163.872
402,164.636
397,165.795
393,166.937
387,168.344
383,169.107
379,170.261
376,171.277
372,172.436
370,173.452
368,174.359
369,175.622
370,176.402
373,177.171
382,178.577
399,179.094
408,180.374
428,180.764
446,181.796
460,182.812
493,183.593
519,184.609
542,185.389
7484,196.183
7374,197.216
7382,198.232
7374,199.265
7340,200.281
7345,201.308
7348,202.341
7276,204.39
7338,205.406
7304,206.433
7320,207.449
7299,208.482
6289,215.656
5402,232.218
5538,233.245
5598,234.278
5674,235.311
5797,236.343
5893,237.25
5949,238.277
7162,240.342
7049,243.452
7013,244.484
7035,246.544
6960,248.604
6981,250.67
6976,251.702
7009,252.729
3039,257.108
7246,261.996
7259,264.045
7289,267.122
2533,268.511
2544,269.544
2592,270.56
2068,277.855
2106,278.871
2730,279.778
2725,280.794
2749,281.827
2785,282.717
2782,283.87
2802,284.886
2835,285.919
2841,286.935
2894,287.968
3614,288.858
3634,289.885
3634,290.901
3680,291.934
3696,292.95
3693,293.967
3723,294.999
3738,296.016
3779,297.043
3810,298.059
3852,299.982
3990,302.151
4045,303.058
4066,305.107
4075,306.123
4079,307.156
4104,308.167
4112,309.183
4147,310.215
4162,311.232
4179,312.264
4191,313.281
4250,314.308
4264,315.324
4291,316.357
4364,317.373
1936,323.888
1857,325.042
1790,326.058
1746,327.09
1693,328.107
1655,329.26
1611,330.156
1565,331.309
1536,332.325
1499,333.358
1460,334.495
1421,335.528
1407,336.544
1373,337.577
1343,338.593
1320,339.62
1300,340.637
1271,341.669
1251,342.823
1222,343.839
1211,344.872
1192,345.888
1166,346.921
1153,348.058
1138,348.964
1124,350.107
1110,351.14
1094,352.277
1087,352.667
1076,353.826
1066,354.716
1055,355.748
1043,356.902
1034,357.808
1025,358.824
